Unnamed: 0,id,age,income,trip_frequency,travel_distance,g_per_km,trip_cost,travel_distance_exp,emissions_exp,age_exp,income_exp,gender_Male,reason_comfort,reason_safety,reason_travel time,reason_trip cost,reason_trip distance,reason_trip origin,status_Students,location_On campus,mode_transportation_Private,mode_transportation_Public Transport,mode_transportation_Taxi,mode_transportation_Walking,purpose_study,purpose_work,infrastructure_adequacy_yes,adoption_yes,adjusted_emissions
17,18,26-50,81k-100k,3,41-60,18.6,100,57,16.0,38,98,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,53.333333333333336
18,19,<=20,≤20k,1,21-40,18.6,60,34,23.0,22,4,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,23.0
19,20,<=20,≤20k,5,80+,116.0,5770,91,138.0,24,17,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,138.0
20,21,26-50,61k–80k,2,41-60,173.0,550,49,185.0,48,67,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,185.0
21,22,<=20,≤20k,5,<=20,116.0,270,11,113.0,19,17,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,113.0
22,23,51+,81k-100k,4,21-40,18.6,60,24,25.0,55,99,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,25.0
23,24,26-50,>100k,1,21-40,0.0,0,37,0.0,29,148,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,0.0
24,25,51+,61k–80k,7,21-40,18.6,60,28,12.0,57,67,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,12.0
25,26,26-50,41k–60k,1,21-40,18.6,60,29,12.0,45,58,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,12.0
26,27,51+,81k-100k,5,41-60,173.0,550,53,94.0,60,85,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,94.0
27,28,26-50,≤20k,7,21-40,18.6,60,24,25.0,42,11,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,25.0
28,29,26-50,61k–80k,2,21-40,18.6,60,25,16.0,33,66,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,16.0
29,30,26-50,41k–60k,4,21-40,18.6,60,33,14.0,31,42,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,48.333333333333336
30,31,26-50,61k–80k,1,<=20,18.6,20,2,13.0,37,73,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,39.0
31,32,26-50,≤20k,3,21-40,18.6,60,30,15.0,35,14,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,37.0
32,33,26-50,21k–40k,7,<=20,18.6,20,9,26.0,47,24,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,26.0
33,34,51+,61k–80k,7,21-40,116.0,330,28,186.0,51,68,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,186.0
34,35,<=20,21k–40k,4,21-40,18.6,60,30,26.0,18,29,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,26.0
35,36,26-50,61k–80k,7,80+,18.6,200,83,16.0,26,73,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,45.333333333333336
36,37,51+,41k–60k,7,21-40,18.6,60,35,12.0,56,44,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,56.333333333333336
37,38,26-50,81k-100k,5,61-80,18.6,140,74,21.0,32,88,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,21.0
38,39,26-50,61k–80k,7,<=20,18.6,20,18,24.0,47,61,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,24.0
39,40,26-50,41k–60k,6,<=20,18.6,20,2,24.0,26,46,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,35.0
40,41,51+,61k–80k,6,61-80,116.0,770,79,142.0,69,64,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,142.0
41,42,<=20,≤20k,7,21-40,18.6,60,35,25.0,23,5,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,25.0
42,43,26-50,81k-100k,7,<=20,116.0,270,18,160.0,31,81,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,160.0
43,44,26-50,61k–80k,3,21-40,116.0,1920,30,116.0,48,67,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,116.0
44,45,51+,81k-100k,1,21-40,18.6,60,28,26.0,52,95,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,26.0
45,46,26-50,41k–60k,7,61-80,18.6,140,78,25.0,43,55,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,25.0
46,47,26-50,61k–80k,3,<=20,50.0,30,15,97.0,34,66,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,97.0
47,48,26-50,>100k,7,21-40,116.0,330,23,139.0,35,130,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,56.666666666666664
48,49,51+,81k-100k,5,41-60,173.0,550,54,119.0,66,95,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,119.0
49,50,26-50,≤20k,7,41-60,0.0,0,59,0.0,37,19,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,0.0
50,51,51+,41k–60k,7,61-80,173.0,770,76,163.0,51,57,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,51.333333333333336
51,52,26-50,41k–60k,7,<=20,18.6,20,4,21.0,33,55,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,21.0
52,53,51+,61k–80k,6,41-60,18.6,100,55,27.0,68,77,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,27.0
53,54,26-50,81k-100k,3,61-80,18.6,140,67,24.0,35,92,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,41.333333333333336
54,55,26-50,81k-100k,4,41-60,173.0,550,54,181.0,31,92,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,181.0
55,56,<=20,≤20k,1,61-80,18.6,140,74,26.0,20,10,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,26.0
56,57,26-50,81k-100k,7,80+,18.6,200,82,27.0,38,85,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,27.0
57,58,26-50,≤20k,7,<=20,18.6,20,6,20.0,32,9,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,20.0
58,59,26-50,41k–60k,2,<=20,116.0,270,10,115.0,46,47,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,115.0
59,60,26-50,61k–80k,2,61-80,116.0,770,65,99.0,47,79,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,43.666666666666664
60,61,<=20,41k–60k,3,<=20,18.6,20,11,14.0,20,53,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,14.0
61,62,<=20,21k–40k,7,<=20,50.0,30,2,108.0,19,26,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,108.0
62,63,26-50,61k–80k,5,21-40,18.6,60,22,26.0,43,63,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,35.666666666666664
63,64,<=20,21k–40k,7,21-40,0.0,0,37,0.0,18,31,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,0.0
64,65,26-50,>100k,6,<=20,18.6,20,18,23.0,38,103,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,True,34.666666666666664
65,66,<=20,≤20k,7,41-60,18.6,100,50,16.0,21,15,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,43.0
66,67,<=20,≤20k,2,<=20,116.0,270,5,104.0,22,9,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,35.0
67,68,51+,>100k,7,<=20,18.6,20,5,14.0,62,119,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,14.0
68,69,26-50,81k-100k,1,21-40,18.6,60,28,18.0,27,88,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,18.0
69,70,51+,41k–60k,3,<=20,18.6,20,19,21.0,54,51,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,47.666666666666664
70,71,51+,61k–80k,1,61-80,18.6,140,73,17.0,69,77,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,17.0
71,72,51+,61k–80k,1,80+,18.6,200,81,17.0,62,67,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,33.666666666666664
72,73,26-50,41k–60k,4,41-60,18.6,100,53,16.0,34,42,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,16.0
73,74,26-50,>100k,3,<=20,18.6,20,2,15.0,32,114,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,15.0
74,75,51+,61k–80k,5,21-40,116.0,330,25,119.0,62,69,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,119.0
75,76,26-50,81k-100k,7,<=20,18.6,20,16,13.0,31,98,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,42.0
76,77,26-50,41k–60k,3,21-40,18.6,60,31,24.0,40,41,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,50.333333333333336
77,78,<=20,≤20k,3,21-40,18.6,60,29,25.0,20,6,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,46.333333333333336
78,79,26-50,41k–60k,1,41-60,116.0,550,51,179.0,40,57,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,179.0
79,80,26-50,21k–40k,2,<=20,18.6,20,15,12.0,26,38,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,12.0
80,81,26-50,61k–80k,7,21-40,116.0,1920,32,102.0,49,64,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,102.0
81,82,<=20,21k–40k,7,80+,18.6,200,97,25.0,24,33,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,25.0
82,83,26-50,41k–60k,7,21-40,18.6,60,28,22.0,47,42,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,22.0
83,84,26-50,41k–60k,7,80+,18.6,200,99,16.0,38,45,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,16.0
84,85,<=20,≤20k,3,80+,18.6,200,85,27.0,21,6,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,27.0
85,86,<=20,≤20k,3,21-40,18.6,60,28,21.0,22,3,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,48.333333333333336
86,87,<=20,21k–40k,5,21-40,18.6,60,38,23.0,18,22,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,23.0
87,88,26-50,61k–80k,4,61-80,116.0,4120,70,144.0,35,66,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,34.0
88,89,51+,61k–80k,7,<=20,116.0,110,6,116.0,68,65,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,39.666666666666664
89,90,<=20,≤20k,5,<=20,116.0,270,9,133.0,18,3,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,46.666666666666664
90,91,26-50,41k–60k,5,61-80,18.6,140,68,23.0,49,59,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,23.0
91,92,26-50,41k–60k,1,21-40,173.0,330,38,142.0,49,48,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,142.0
92,93,26-50,41k–60k,3,<=20,173.0,110,6,90.0,48,44,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,56.0
93,94,51+,81k-100k,6,41-60,116.0,550,51,101.0,54,88,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,101.0
94,95,51+,61k–80k,2,41-60,173.0,550,46,157.0,57,79,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,157.0
95,96,26-50,41k–60k,5,<=20,116.0,110,11,111.0,31,43,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,111.0
96,97,<=20,≤20k,7,<=20,173.0,110,9,170.0,20,5,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,170.0
97,98,<=20,21k–40k,7,<=20,50.0,30,6,64.0,24,25,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,64.0
98,99,<=20,21k–40k,1,21-40,116.0,1920,31,122.0,18,30,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,122.0
99,100,<=20,21k–40k,3,61-80,116.0,4120,78,152.0,24,36,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,152.0
100,101,51+,61k–80k,5,41-60,116.0,550,58,128.0,67,68,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,42.0
101,102,26-50,41k–60k,6,41-60,116.0,3020,58,134.0,28,59,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,38.0
102,103,51+,>100k,1,<=20,173.0,110,5,179.0,63,148,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,179.0
103,104,<=20,21k–40k,7,<=20,116.0,270,15,111.0,19,32,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,38.0
104,105,<=20,≤20k,4,<=20,18.6,20,10,21.0,20,15,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,21.0
105,106,26-50,81k-100k,3,<=20,18.6,20,14,24.0,32,92,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,24.0
106,107,26-50,81k-100k,7,<=20,116.0,110,6,93.0,39,94,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,56.666666666666664
107,108,<=20,≤20k,2,21-40,116.0,1920,33,142.0,24,15,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,39.333333333333336
108,109,26-50,61k–80k,4,<=20,173.0,110,7,186.0,41,68,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,186.0
109,110,26-50,41k–60k,4,41-60,116.0,550,53,174.0,30,45,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,174.0
110,111,26-50,41k–60k,2,61-80,18.6,140,67,12.0,46,46,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,12.0
111,112,26-50,81k-100k,7,21-40,116.0,330,21,128.0,28,90,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,128.0
112,113,<=20,≤20k,6,<=20,18.6,20,12,23.0,24,11,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,23.0
113,114,<=20,21k–40k,3,80+,18.6,200,85,23.0,19,29,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,23.0
114,115,26-50,>100k,1,80+,116.0,1100,99,96.0,37,106,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,96.0
115,116,26-50,41k–60k,7,<=20,116.0,270,7,166.0,36,56,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,50.333333333333336
116,117,26-50,61k–80k,4,41-60,116.0,3020,46,158.0,32,63,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,158.0
117,118,26-50,81k-100k,7,61-80,18.6,140,72,19.0,32,92,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,19.0
118,119,<=20,21k–40k,7,<=20,50.0,30,19,94.0,24,36,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,94.0
119,120,51+,81k-100k,2,21-40,18.6,60,28,13.0,52,86,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,13.0
120,121,<=20,≤20k,7,21-40,18.6,60,39,18.0,18,3,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,18.0
121,122,26-50,61k–80k,3,21-40,18.6,60,24,24.0,28,63,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,45.333333333333336
122,123,51+,61k–80k,7,21-40,18.6,60,33,20.0,58,76,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,20.0
123,124,51+,>100k,3,80+,116.0,1100,96,163.0,54,113,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,163.0
124,125,26-50,41k–60k,7,41-60,116.0,3020,47,169.0,35,41,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,169.0
125,126,51+,>100k,7,<=20,173.0,110,3,160.0,62,135,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,160.0
126,127,26-50,41k–60k,7,21-40,18.6,60,35,13.0,32,56,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,13.0
127,128,51+,>100k,5,21-40,0.0,0,32,0.0,54,143,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,0.0
128,129,<=20,21k–40k,5,<=20,18.6,20,4,12.0,20,36,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,12.0
129,130,<=20,≤20k,7,21-40,18.6,60,38,15.0,23,1,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,15.0
130,131,26-50,21k–40k,4,80+,18.6,200,98,15.0,35,36,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,42.333333333333336
131,132,<=20,≤20k,3,21-40,18.6,60,35,12.0,23,2,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,55.333333333333336
132,133,26-50,41k–60k,6,<=20,116.0,270,9,110.0,46,48,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,51.0
133,134,26-50,41k–60k,1,<=20,173.0,110,4,110.0,44,57,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,110.0
134,135,26-50,41k–60k,3,21-40,173.0,330,34,101.0,35,58,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,101.0
135,136,<=20,≤20k,7,21-40,18.6,60,22,19.0,18,19,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,19.0
136,137,26-50,81k-100k,1,<=20,0.0,0,18,0.0,27,86,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,0.0
137,138,26-50,61k–80k,6,41-60,18.6,100,51,12.0,45,76,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,12.0
138,139,26-50,41k–60k,2,<=20,173.0,110,14,90.0,31,41,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,90.0
139,140,26-50,81k-100k,7,<=20,18.6,20,13,20.0,42,97,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,20.0
140,141,26-50,61k–80k,7,21-40,116.0,1920,21,131.0,46,65,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,51.666666666666664
141,142,<=20,41k–60k,3,<=20,18.6,20,4,23.0,22,50,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,23.0
142,143,26-50,21k–40k,3,80+,18.6,200,96,20.0,44,28,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,20.0
143,144,26-50,41k–60k,1,<=20,116.0,270,9,122.0,29,51,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,122.0
144,145,26-50,61k–80k,5,41-60,116.0,550,51,103.0,34,79,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,103.0
145,146,51+,61k–80k,7,21-40,173.0,330,30,155.0,67,62,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,52.333333333333336
146,147,26-50,≤20k,7,21-40,18.6,60,39,19.0,40,15,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,19.0
147,148,26-50,41k–60k,5,61-80,116.0,770,70,156.0,45,57,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,156.0
148,149,51+,41k–60k,7,21-40,18.6,60,35,13.0,57,49,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,13.0
149,150,26-50,41k–60k,7,41-60,18.6,100,55,12.0,32,54,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,12.0
150,151,26-50,≤20k,2,21-40,18.6,60,28,13.0,42,14,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,13.0
151,152,<=20,≤20k,5,21-40,0.0,0,29,0.0,23,10,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,0.0
152,153,26-50,41k–60k,7,61-80,173.0,770,73,133.0,26,46,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,49.666666666666664
153,154,26-50,61k–80k,5,21-40,116.0,1920,27,135.0,45,65,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,51.333333333333336
154,155,26-50,≤20k,4,21-40,18.6,60,21,23.0,36,9,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,23.0
155,156,<=20,≤20k,7,61-80,18.6,140,66,27.0,21,11,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,34.666666666666664
156,157,26-50,41k–60k,3,80+,18.6,200,85,17.0,32,51,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,17.0
157,158,26-50,41k–60k,1,21-40,116.0,1920,35,136.0,40,49,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,136.0
158,159,51+,61k–80k,1,21-40,116.0,330,38,100.0,65,65,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,100.0
159,160,51+,41k–60k,4,<=20,18.6,20,11,19.0,52,56,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,19.0
160,161,26-50,61k–80k,6,21-40,18.6,60,26,21.0,46,78,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,55.666666666666664
161,162,<=20,21k–40k,7,21-40,18.6,60,23,20.0,24,29,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,20.0
162,163,26-50,61k–80k,1,61-80,18.6,140,63,13.0,36,65,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,13.0
163,164,26-50,41k–60k,2,21-40,18.6,60,34,17.0,33,54,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,17.0
164,165,51+,41k–60k,1,41-60,18.6,100,53,19.0,67,43,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,19.0
165,166,26-50,61k–80k,1,<=20,173.0,110,15,148.0,36,65,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,44.0
166,167,<=20,21k–40k,7,<=20,0.0,0,11,0.0,21,22,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,0.0
167,168,<=20,21k–40k,3,41-60,50.0,150,44,73.0,19,24,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,73.0
168,169,26-50,61k–80k,1,<=20,116.0,270,15,122.0,27,76,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,122.0
169,170,<=20,≤20k,7,<=20,18.6,20,2,19.0,23,9,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,19.0
170,171,<=20,≤20k,5,21-40,18.6,60,30,16.0,24,4,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,16.0
171,172,26-50,81k-100k,4,21-40,0.0,0,24,0.0,33,91,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,0.0
172,173,26-50,41k–60k,2,21-40,116.0,330,22,186.0,34,45,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,186.0
173,174,26-50,>100k,7,21-40,116.0,330,22,99.0,46,113,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,99.0
174,175,26-50,61k–80k,3,41-60,18.6,100,54,14.0,49,62,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,51.666666666666664
175,176,26-50,61k–80k,7,<=20,18.6,20,1,21.0,39,69,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,21.0
176,177,51+,41k–60k,7,41-60,116.0,550,47,153.0,64,42,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,153.0
177,178,26-50,61k–80k,4,<=20,116.0,270,15,164.0,38,74,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,164.0
178,179,26-50,61k–80k,7,21-40,18.6,60,32,13.0,28,63,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,33.666666666666664
179,180,51+,41k–60k,7,41-60,116.0,3020,44,135.0,58,59,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,45.666666666666664
180,181,26-50,41k–60k,7,61-80,18.6,140,67,15.0,45,47,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,54.0
181,182,26-50,81k-100k,7,61-80,116.0,770,71,142.0,34,99,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,142.0
