,id,age,gender,location,status,income,purpose,infrastructure_adequacy,trip_frequency,mode_transportation,reason,travel_distance,g_per_km,trip_cost,adoption
80,81,26-50,Female,On campus,Staff,61k–80k,work,yes,Daily,Taxi,travel time,21-40,116.0,1920,no
81,82,<=20,Male,On campus,Students,21k–40k,both,yes,Daily,Public Transport,travel time,80+,18.6,200,yes
82,83,26-50,Male,Off campus,Staff,41k–60k,both,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
83,84,26-50,Male,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,safety,80+,18.6,200,no
84,85,<=20,Male,Off campus,Students,≤20k,study,no,3,Public Transport,trip cost,80+,18.6,200,no
85,86,<=20,Male,Off campus,Students,≤20k,study,no,3,Public Transport,travel time,21-40,18.6,60,no
86,87,<=20,Female,On campus,Students,21k–40k,both,yes,5,Public Transport,trip cost,21-40,18.6,60,yes
87,88,26-50,Male,Off campus,Staff,61k–80k,work,no,4,Taxi,comfort,61-80,116.0,4120,no
88,89,51+,Female,Off campus,Staff,61k–80k,work,yes,Daily,Private,trip origin,<=20,116.0,110,no
89,90,<=20,Male,Off campus,Students,≤20k,study,no,5,Taxi,trip origin,<=20,116.0,270,no
90,91,26-50,Male,Off campus,Staff,41k–60k,both,yes,5,Public Transport,travel time,61-80,18.6,140,no
91,92,26-50,Female,Off campus,Staff,41k–60k,work,yes,1,Private,travel time,21-40,173.0,330,no
92,93,26-50,Female,Off campus,Staff,41k–60k,work,yes,3,Private,travel time,<=20,116.0,110,yes
93,94,51+,Male,Off campus,Staff,81k-100k,both,yes,6,Private,car ownership,41-60,173.0,550,no
94,95,51+,Female,Off campus,Staff,61k–80k,work,no,2,Private,trip origin,41-60,116.0,550,no
95,96,26-50,Male,Off campus,Staff,41k–60k,work,no,5,Private,trip origin,<=20,173.0,110,yes
96,97,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Private,car ownership,<=20,116.0,110,no
97,98,<=20,Male,Off campus,Students,21k–40k,both,yes,Daily,Motorcycle,trip cost,<=20,50.0,30,no
98,99,<=20,Male,Off campus,Students,21k–40k,study,yes,1,Private,safety,21-40,173.0,330,yes
99,100,<=20,Male,Off campus,Students,21k–40k,both,no,3,Taxi,comfort,61-80,116.0,4120,no
100,101,51+,Male,Off campus,Staff,61k–80k,work,yes,5,Private,safety,41-60,116.0,550,no
101,102,26-50,Male,Off campus,Staff,41k–60k,work,yes,6,Taxi,comfort,41-60,116.0,3020,yes
102,103,51+,Male,On campus,Staff,>100k,work,yes,1,Private,car ownership,<=20,116.0,110,no
103,104,<=20,Male,Off campus,Students,21k–40k,study,yes,Daily,Taxi,car ownership,<=20,116.0,270,no
104,105,<=20,Female,Off campus,Students,≤20k,both,no,4,Public Transport,travel time,<=20,18.6,20,no
105,106,26-50,Male,Off campus,Staff,81k-100k,work,yes,3,Public Transport,trip cost,<=20,18.6,20,no
106,107,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Private,safety,<=20,116.0,110,yes
107,108,<=20,Female,Off campus,Students,≤20k,study,no,2,Taxi,travel time,21-40,116.0,1920,no
108,109,26-50,Male,Off campus,Staff,61k–80k,work,yes,4,Private,trip origin,<=20,116.0,110,no
109,110,26-50,Male,Off campus,Staff,41k–60k,work,yes,4,Private,car ownership,41-60,173.0,550,no
110,111,26-50,Male,On campus,Staff,41k–60k,work,yes,2,Public Transport,safety,61-80,18.6,140,no
111,112,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Private,travel time,21-40,173.0,330,no
112,113,<=20,Female,On campus,Students,≤20k,study,yes,6,Public Transport,travel time,<=20,18.6,20,yes
113,114,<=20,Female,Off campus,Students,21k–40k,study,no,3,Public Transport,travel time,80+,18.6,200,no
114,115,26-50,Male,Off campus,Staff,>100k,work,no,1,Private,trip origin,80+,173.0,1100,no
115,116,26-50,Female,On campus,Staff,41k–60k,work,no,Daily,Taxi,trip origin,<=20,116.0,270,no
116,117,26-50,Female,Off campus,Staff,61k–80k,work,no,4,Taxi,car ownership,41-60,116.0,3020,no
117,118,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,travel time,61-80,18.6,140,yes
118,119,<=20,Female,On campus,Students,21k–40k,both,yes,Daily,Motorcycle,trip distance,<=20,50.0,30,no
119,120,51+,Male,Off campus,Staff,81k-100k,work,yes,2,Public Transport,trip cost,21-40,18.6,60,yes
120,121,<=20,Female,Off campus,Students,≤20k,study,no,Daily,Public Transport,travel time,21-40,18.6,60,no
121,122,26-50,Female,Off campus,Staff,61k–80k,work,yes,3,Public Transport,safety,21-40,18.6,60,no
122,123,51+,Male,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,safety,21-40,18.6,60,no
123,124,51+,Male,Off campus,Staff,>100k,work,yes,3,Private,trip origin,80+,173.0,1100,no
124,125,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Taxi,trip origin,41-60,116.0,3020,yes
125,126,51+,Male,Off campus,Staff,>100k,work,yes,Daily,Private,comfort,<=20,116.0,110,no
126,127,26-50,Female,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,travel time,21-40,18.6,60,no
127,128,51+,Female,On campus,Staff,>100k,work,yes,5,Walking,trip distance,21-40,0.0,0,no
128,129,<=20,Male,Off campus,Students,21k–40k,study,no,5,Public Transport,trip cost,<=20,18.6,20,no
129,130,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,travel time,21-40,18.6,60,no
130,131,26-50,Male,On campus,Students,21k–40k,study,no,4,Public Transport,trip cost,80+,18.6,200,no
131,132,<=20,Male,On campus,Students,≤20k,study,no,3,Public Transport,trip cost,21-40,18.6,60,yes
132,133,26-50,Male,Off campus,Staff,41k–60k,work,no,6,Taxi,travel time,<=20,116.0,270,yes
133,134,26-50,Male,Off campus,Staff,41k–60k,work,yes,1,Private,car ownership,<=20,173.0,110,no
134,135,26-50,Female,Off campus,Staff,41k–60k,work,yes,3,Private,comfort,21-40,116.0,330,no
135,136,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
136,137,26-50,Male,On campus,Staff,81k-100k,work,yes,1,Walking,trip distance,<=20,0.0,0,no
137,138,26-50,Male,Off campus,Staff,61k–80k,work,yes,6,Public Transport,trip cost,41-60,18.6,100,no
138,139,26-50,Male,On campus,Staff,41k–60k,work,no,2,Private,travel time,<=20,173.0,110,no
139,140,26-50,Female,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,trip cost,<=20,18.6,20,yes
140,141,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Taxi,travel time,21-40,116.0,1920,no
141,142,<=20,Male,Off campus,Students,41k–60k,both,yes,3,Public Transport,trip cost,<=20,18.6,20,no
142,143,26-50,Male,Off campus,Students,21k–40k,study,no,3,Public Transport,travel time,80+,18.6,200,no
143,144,26-50,Male,Off campus,Staff,41k–60k,work,no,1,Taxi,trip origin,<=20,116.0,270,no
144,145,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Private,trip origin,41-60,116.0,550,no
145,146,51+,Male,Off campus,Staff,61k–80k,work,yes,Daily,Private,trip origin,21-40,173.0,330,yes
146,147,26-50,Male,Off campus,Students,≤20k,study,no,Daily,Public Transport,safety,21-40,18.6,60,no
147,148,26-50,Male,Off campus,Staff,41k–60k,work,yes,5,Private,comfort,61-80,116.0,770,no
148,149,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,travel time,21-40,18.6,60,no
149,150,26-50,Male,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,safety,41-60,18.6,100,yes
150,151,26-50,Female,Off campus,Students,≤20k,study,no,2,Public Transport,trip cost,21-40,18.6,60,yes
151,152,<=20,Male,On campus,Students,≤20k,both,yes,5,Walking,trip distance,21-40,0.0,0,no
152,153,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Private,comfort,61-80,116.0,770,yes
153,154,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Private,trip origin,21-40,116.0,330,no
154,155,26-50,Female,On campus,Students,≤20k,both,yes,4,Public Transport,trip cost,21-40,18.6,60,no
155,156,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Public Transport,trip cost,61-80,18.6,140,yes
156,157,26-50,Male,On campus,Staff,41k–60k,both,yes,3,Public Transport,travel time,80+,18.6,200,no
157,158,26-50,Female,Off campus,Staff,41k–60k,work,yes,1,Taxi,trip origin,21-40,116.0,1920,no
158,159,51+,Male,Off campus,Staff,61k–80k,both,yes,1,Private,car ownership,21-40,116.0,330,no
159,160,51+,Female,Off campus,Staff,41k–60k,work,yes,4,Public Transport,trip cost,<=20,18.6,20,yes
160,161,26-50,Male,Off campus,Staff,61k–80k,work,yes,6,Public Transport,travel time,21-40,18.6,60,yes
161,162,<=20,Male,Off campus,Students,21k–40k,study,yes,Daily,Public Transport,safety,21-40,18.6,60,yes
162,163,26-50,Male,Off campus,Staff,61k–80k,work,yes,1,Public Transport,travel time,61-80,18.6,140,no
163,164,26-50,Male,Off campus,Staff,41k–60k,work,yes,2,Public Transport,safety,21-40,18.6,60,no
164,165,51+,Male,Off campus,Staff,41k–60k,work,yes,1,Public Transport,trip cost,41-60,18.6,100,yes
165,166,26-50,Female,Off campus,Staff,61k–80k,work,no,1,Private,car ownership,<=20,116.0,110,no
166,167,<=20,Male,Off campus,Students,21k–40k,study,yes,Daily,Walking,trip distance,<=20,0.0,0,no
167,168,<=20,Male,On campus,Students,21k–40k,both,no,3,Motorcycle,travel time,41-60,50.0,150,no
168,169,26-50,Male,Off campus,Staff,61k–80k,work,yes,1,Taxi,car ownership,<=20,116.0,270,no
169,170,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,safety,<=20,18.6,20,yes
170,171,<=20,Male,Off campus,Students,≤20k,both,yes,5,Public Transport,safety,21-40,18.6,60,no
171,172,26-50,Male,On campus,Staff,81k-100k,work,yes,4,Walking,trip distance,21-40,0.0,0,no
172,173,26-50,Male,On campus,Staff,41k–60k,work,no,2,Private,comfort,21-40,116.0,330,no
173,174,26-50,Male,Off campus,Staff,>100k,work,no,Daily,Private,comfort,21-40,173.0,330,no
174,175,26-50,Male,Off campus,Staff,61k–80k,both,no,3,Public Transport,trip cost,41-60,18.6,100,no
175,176,26-50,Male,Off campus,Staff,61k–80k,both,yes,Daily,Public Transport,trip cost,<=20,18.6,20,no
176,177,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Private,safety,41-60,116.0,550,yes
177,178,26-50,Male,Off campus,Staff,61k–80k,work,yes,4,Taxi,comfort,<=20,116.0,270,yes
178,179,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
179,180,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Private,comfort,41-60,173.0,550,yes
180,181,26-50,Male,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,safety,61-80,18.6,140,no
181,182,26-50,Male,Off campus,Staff,81k-100k,work,no,Daily,Private,trip origin,61-80,116.0,770,no
182,183,26-50,Female,On campus,Staff,61k–80k,both,yes,Daily,Taxi,safety,41-60,116.0,3020,yes
183,184,26-50,Female,Off campus,Staff,61k–80k,work,yes,6,Taxi,safety,21-40,116.0,1920,no
184,185,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Taxi,trip origin,<=20,116.0,270,yes
185,186,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Private,comfort,<=20,116.0,110,no
186,187,26-50,Female,Off campus,Students,21k–40k,study,yes,Daily,Taxi,comfort,80+,116.0,5770,no
187,188,51+,Male,Off campus,Staff,61k–80k,both,no,5,Public Transport,trip cost,80+,18.6,200,no
188,189,26-50,Male,Off campus,Staff,61k–80k,work,yes,2,Private,travel time,80+,173.0,1100,yes
189,190,26-50,Male,Off campus,Staff,61k–80k,work,yes,1,Public Transport,trip cost,<=20,18.6,20,no
190,191,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Private,comfort,21-40,173.0,330,no
191,192,26-50,Female,Off campus,Staff,41k–60k,work,yes,1,Public Transport,travel time,41-60,18.6,100,yes
192,193,26-50,Female,Off campus,Staff,>100k,work,no,Daily,Private,trip origin,41-60,116.0,550,no
193,194,51+,Male,Off campus,Staff,61k–80k,work,yes,Daily,Private,trip origin,41-60,173.0,550,no
194,195,26-50,Male,On campus,Staff,41k–60k,work,no,1,Public Transport,trip cost,61-80,18.6,140,no
195,196,26-50,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,safety,21-40,18.6,60,yes
196,197,<=20,Female,Off campus,Students,21k–40k,study,no,3,Public Transport,travel time,<=20,18.6,20,no
197,198,26-50,Female,Off campus,Students,≤20k,both,yes,Daily,Public Transport,trip cost,<=20,18.6,20,yes
198,199,26-50,Female,Off campus,Staff,41k–60k,work,yes,3,Public Transport,safety,<=20,18.6,20,no
199,200,26-50,Female,Off campus,Staff,61k–80k,work,no,Daily,Private,safety,21-40,116.0,330,no
200,201,26-50,Male,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,trip cost,<=20,18.6,20,no
201,202,<=20,Male,On campus,Students,21k–40k,both,no,1,Motorcycle,trip cost,<=20,50.0,30,no
202,203,<=20,Male,Off campus,Students,≤20k,both,yes,5,Walking,trip distance,21-40,0.0,0,no
203,204,26-50,Female,On campus,Staff,81k-100k,work,no,1,Public Transport,trip cost,80+,18.6,200,yes
204,205,<=20,Male,Off campus,Students,≤20k,both,no,3,Taxi,safety,61-80,116.0,4120,no
205,206,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Private,car ownership,<=20,173.0,110,no
206,207,51+,Male,Off campus,Staff,81k-100k,work,no,Daily,Private,travel time,<=20,173.0,110,no
207,208,26-50,Male,Off campus,Staff,61k–80k,both,yes,Daily,Public Transport,travel time,<=20,18.6,20,no
208,209,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Public Transport,travel time,80+,18.6,200,no
209,210,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
210,211,26-50,Male,Off campus,Students,21k–40k,study,no,Daily,Taxi,comfort,<=20,116.0,270,yes
211,212,26-50,Male,Off campus,Staff,61k–80k,both,yes,4,Private,comfort,61-80,116.0,770,no
212,213,26-50,Male,On campus,Staff,>100k,work,yes,Daily,Private,comfort,21-40,173.0,330,no
213,214,<=20,Male,Off campus,Students,41k–60k,both,yes,2,Public Transport,trip cost,80+,18.6,200,no
214,215,51+,Male,Off campus,Staff,61k–80k,work,yes,1,Public Transport,safety,<=20,18.6,20,yes
215,216,51+,Male,Off campus,Staff,61k–80k,work,yes,2,Private,car ownership,21-40,173.0,330,no
216,217,<=20,Male,Off campus,Students,≤20k,study,yes,2,Public Transport,safety,21-40,18.6,60,yes
217,218,26-50,Female,Off campus,Staff,61k–80k,work,no,Daily,Private,car ownership,80+,116.0,1100,no
218,219,26-50,Male,Off campus,Staff,41k–60k,work,no,Daily,Private,travel time,80+,173.0,1100,no
219,220,<=20,Female,On campus,Students,≤20k,study,no,4,Motorcycle,travel time,21-40,50.0,90,no
220,221,26-50,Male,Off campus,Staff,41k–60k,work,no,5,Private,comfort,<=20,173.0,110,yes
221,222,51+,Male,Off campus,Staff,41k–60k,both,yes,Daily,Public Transport,safety,21-40,18.6,60,no
222,223,51+,Male,On campus,Staff,41k–60k,work,yes,Daily,Motorcycle,trip cost,41-60,50.0,150,no
223,224,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Public Transport,safety,21-40,18.6,60,no
224,225,26-50,Male,On campus,Staff,81k-100k,work,yes,Daily,Private,trip origin,61-80,173.0,770,no
225,226,26-50,Male,Off campus,Staff,61k–80k,work,no,2,Taxi,car ownership,21-40,116.0,1920,no
226,227,51+,Female,Off campus,Staff,41k–60k,work,yes,1,Public Transport,trip cost,21-40,18.6,60,no
227,228,51+,Male,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,trip cost,21-40,18.6,60,yes
228,229,26-50,Female,Off campus,Staff,61k–80k,work,yes,3,Public Transport,travel time,41-60,18.6,100,yes
229,230,<=20,Male,Off campus,Students,≤20k,study,no,2,Taxi,safety,61-80,116.0,4120,no
230,231,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Private,travel time,21-40,116.0,330,yes
231,232,26-50,Male,On campus,Staff,>100k,work,yes,1,Public Transport,trip cost,21-40,18.6,60,no
232,233,51+,Male,Off campus,Staff,41k–60k,work,no,4,Public Transport,safety,21-40,18.6,60,yes
233,234,26-50,Male,Off campus,Staff,41k–60k,both,yes,3,Private,travel time,<=20,173.0,110,no
234,235,26-50,Male,Off campus,Students,≤20k,both,no,Daily,Taxi,car ownership,80+,116.0,5770,no
235,236,26-50,Female,Off campus,Staff,>100k,both,yes,2,Public Transport,trip cost,21-40,18.6,60,yes
236,237,26-50,Male,Off campus,Students,21k–40k,both,yes,3,Public Transport,trip cost,61-80,18.6,140,no
237,238,26-50,Male,On campus,Staff,81k-100k,work,no,4,Private,safety,41-60,116.0,550,no
238,239,51+,Male,On campus,Staff,41k–60k,work,yes,3,Private,travel time,61-80,116.0,770,no
239,240,26-50,Male,Off campus,Staff,>100k,work,no,Daily,Taxi,car ownership,80+,116.0,5770,no
240,241,26-50,Female,Off campus,Staff,41k–60k,work,yes,3,Private,car ownership,21-40,116.0,330,no
241,242,26-50,Female,On campus,Staff,41k–60k,both,yes,3,Taxi,travel time,80+,116.0,5770,no
242,243,26-50,Female,Off campus,Staff,81k-100k,both,yes,Daily,Private,safety,<=20,173.0,110,no
243,244,26-50,Male,Off campus,Staff,>100k,work,yes,1,Private,travel time,41-60,173.0,550,no
244,245,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Private,trip origin,61-80,173.0,770,yes
245,246,51+,Female,Off campus,Staff,41k–60k,work,yes,3,Public Transport,trip cost,<=20,18.6,20,no
246,247,<=20,Male,On campus,Students,≤20k,study,yes,Daily,Public Transport,travel time,41-60,18.6,100,no
247,248,26-50,Female,Off campus,Students,≤20k,both,yes,3,Public Transport,trip cost,61-80,18.6,140,no
248,249,51+,Female,Off campus,Staff,41k–60k,work,yes,5,Taxi,travel time,61-80,116.0,4120,no
249,250,26-50,Female,On campus,Staff,>100k,both,yes,4,Private,car ownership,21-40,173.0,330,no
250,251,26-50,Male,On campus,Staff,61k–80k,work,yes,5,Private,travel time,41-60,116.0,550,no
251,252,<=20,Male,Off campus,Students,21k–40k,both,yes,6,Taxi,car ownership,21-40,116.0,1920,no
252,253,26-50,Female,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,safety,41-60,18.6,100,no
253,254,26-50,Male,Off campus,Staff,61k–80k,work,yes,3,Private,car ownership,21-40,116.0,330,no
254,255,26-50,Male,Off campus,Students,21k–40k,both,yes,1,Public Transport,trip cost,21-40,18.6,60,no
255,256,26-50,Male,Off campus,Staff,61k–80k,both,no,5,Private,trip origin,21-40,173.0,330,no
256,257,26-50,Female,Off campus,Staff,41k–60k,work,no,Daily,Private,comfort,<=20,173.0,110,no
